7zip 26.01-1
adw-gtk-theme 6.4-1
aisleriot 3.22.35-1
alacritty 0.17.0-1
alsa-firmware 1.2.4-4
alsa-utils 1.2.15.2-2
amd-ucode 20260410-1
appmenu-gtk-module 25.04-3
aquamarine 0.11.0-2
arj 3.10.22-14
audacious 4.5.1-1
audacity 1:3.7.7-2
awww 0.12.0-1
b43-fwcutter 019-6
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
beautyline 2:3.0.3-1
bind 9.20.22-1
blender 17:5.1.1-8
blueman 2.4.6-2
bluetooth-autoconnect 1.3-1.7
bluetooth-support 1-7
bluetui 0.8.1-2
bottom 0.12.3-2
brave-bin 1:1.90.122-1
bridge-utils 1.7.1-5
btop 1.4.7-1
btrfs-assistant 2.2-5
btrfs-progs 7.0-1
bzip2 1.0.8-6
cemu-git 2.6.r215.gad73c1e-1
chaotic-keyring 20251028-1
chaotic-mirrorlist 20260428-1
cliphist 1:0.7.0-2
clipman 1.6.5-1
coreutils 9.11-1
cryptsetup 2.8.6-1
cups 2:2.4.19-1
curlftpfs 0.9.2-10
deluge-gtk 1:2.2.0-2
deno 2.7.14-1
dhclient 4.4.3.P1-4
dialog 1:1.3_20260107-1
discord 1:1.0.138-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
docker 1:29.5.0-1
docker-compose 5.1.3-1
dosfstools 4.2-5
downgrade 12.0.1-1
dracut 110-2
dunst 1.13.2-1
dust 1.2.4-2
e2fsprogs 1.47.4-1
ecryptfs-utils 111-9
efibootmgr 18-4
emote 4.1.0-7
eog 50.1-1
ethtool 1:7.0-1
evince 1:48.1-2
ex-vi-compat 2-1
exfatprogs 1.3.2-1
f2fs-tools 1.16.0-3
fastfetch 2.63.1-1
fatresize 1.1.0-2
ffmpegthumbnailer 2.3.0-1
file 5.47-3
file-roller 44.6-2
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 150.0.3-1
flameshot 13.3.0-2
font-manager 0.9.4-3
foot 1.27.0-1
freetype2 2.14.3-1
fscrypt 0.3.6-2
fsearch 0.2.3-3.6
fwupd 2.1.3-1
galculator 2.1.4-10
gamemode 1.8.2-2
gamescope 3.16.23-1
garuda-boot-options 1.1.2-2
